id,message,date
87815,"#Palestine

ዛሬ አይርላንድ ፣ ኖርዌይ እንዲሁም ስፔን ለፍልስጤም የነጻ ሀገርነት እውቅና እንደሚሰጡ በይፋ አስታወቁ።

"" የዛሬው ቀን ለፍልስጤም እጅግ ታሪካዊ ቀን ነው "" ተብሏል።

የአየርላንድ ጠ/ሚኒስትር ሲሞን ሃሪስ "" ዛሬ አየርላንድ ፣ ኖርዌይ እና ስፔን ለፍልስጤም የነጻ ሀገርነት እውቅና ሰጥተናል። ውሳኔውን ተግባራዊ ለማድረግ እያንዳንዳችን ማንኛውንም አይነት ብሔራዊ እርምጃ እንወስዳለን "" ብለዋል።

ጠ/ሚኒስትሩ ፥ "" #በሚቀጥሉት_ሳምንታት ተጨማሪ ሀገራት ይህን ጠቃሚ እርምጃ ለመውሰድ ከእኛ ጋር እንደሚተባበሩ እርግጠኛ ነኝ "" ሲሉ አክለዋል።

የአይርላንድ መንግሥት ይህ የሀገርነት እውቅና የሁለት ሀገር መፍትሄን እንደሚደግፍና ለቀጠናው ዘላቂ ሰላም አስፈላጊ መሆኑን ገልጿል።

የስፔኑ ጠቅላይ ሚኒስትር ፔድሮ ሳንቼዝ እና የኖርዌይ የውጭ ጉዳይ ሚኒስትር የሆኑት ኢስፔን ባርት ኢይድ ሀገራቸው ከግንቦት 28 (እ.ኤ.አ) ጀምሮ ለፍልስጤም ግዛት እውቅና እንደሚሰጡ በይፋ አሳውቀዋል።

የስፔኑ ጠ/ሚኒስትር ፔድሮ ሳንቼዝ ፥ "" ምንም እንኳን ከአሸባሪው ቡድን #ሃማስ ጋር የሚደረገው ውጊያ ህጋዊ ቢሆንም ጠቅላይ ሚኒስትር ቤኒያሚን ኔታንያሁ ለፍልስጤም የሰላም ፕሮጀክት የላቸውም "" ብለዋል።

የኖርዌይ ጠ/ ሚኒስትር ጆናስ ጋህር ስቶር በበኩላቸው ፥ "" እውቅና ከሌለ (የፍልስጤም) በመካከለኛው ምስራቅ ምንም ሰላም ሊኖር አይችልም "" ብለዋል።

"" ሽብር የተፈፀመው በሃማስና የሁለት ሀገር መፍትሄን በማይቀበሉ እንዲሁም የእስራኤልን መንግሥት በማይደግፉ ታጣቂ ቡድኖች ነው። "" ሲሉ አክለዋል።

"" ፍልስጤም ነጻ አገር የመሆን መሠረታዊ መብት አላት "" ብለዋል።

የፍልስጤም #የነጻ_ሀገርነት እውቅና መስጠት በይፋ ከተሰማ በኃላ የእስራኤል የውጭ ጉዳይ ሚኒስትር #በኖርዌይ እና #በአይርላንድ የሚገኙ አምባሳደሮችን በአስቸኳይ ወደ እስራኤል እንዲመለሱ አዘዋል።

ሚኒስትሩ፤ "" የዛሬው ውሳኔ ሽብርተኝነት እንደሚከፍል ለፍልስጤማውያን እና ለዓለም መልእክት ያስተላለፈ ነው "" ብለዋል።

መረጃው የስካይ ኒውስ ነው።

More - @thiqahEth",2024-05-22 09:43:42+00:00
87814,"🇪🇹 የፖለቲካ ፓርቲዎች ምን ይላሉ ? 🇪🇹

"" አሁን ላይ ያሉ ችግሮች ምፍትሄ እስካላገኙ  ስለ ምርጫ ማሰብ #ቀልድ ነው "" - አቶ ግርማ በቀለ

የሕብር ኢትዮጵያ ዴሞክራሲያዊ ፓርቲ (ሕብር) ሊቀ መንበር አቶ ግርማ በቀለ ከቲክቫህ ኢትዮጵያ ጋር በሀገራዊ ጉዳዮች ዙሪያ ቆይታ አድረገዋል።

Q. የዜጎች በሕይወት የመኖር መብት ጥሰትን በተመለከተ ስለሚነሱ ጉዳዮች የፓርቲዎ ግምገማ ምን ይላል ?
 
አቶ ግርማ በቀለ ፦

"" የዜጎች ሰብዓዊና ዴሞክራሲያዊ መብቶች በእጅጉ ተጥሰዋል።

መንግሥት የፓለቲካ ምህዳሩን ያስፋልን ፣ ነፃና ዴሞክራሲያዊ ምርጫ ይደረግ፣ በአገሪቱ ስለተፈጠሩት ችግሮች በጠረንጴዛ ዙሪያ እንወያይ እያልን ስንጮህ ነበር።

አሁን ከዜጎች ሰብዓዊና ዴሞክራሲያዊ መብቶች ጥሰት አልፎ ፦
° የፓርቲ መሪዎችን ከቤት አውጥቶ ገድሎ የመጣል፣ 
° የሕዝብ ተወካዮች ም/ቤት አባላት ሕገ መንግስቱ የሰጣቸውን መብቶች ተገፈው ምን እንዳጠፉ ሳይነገር የሚታሰሩበት ከባድ ደረጃ ላይ የደረስንበት ጊዜ ነው። ""

Q. ስለ ሀገሪቱ የጸጥታና ደኀንነት ሁኔታ የፓርቲያችሁ ግምገማ ምንድን ነው ? 

አቶ ግርማ በቀለ ፦

"" ለ6 ዓመታት በብልጽግና፣ ከኢህዴግም በከፋ ሁኔታ አገራችን ያልተረጋጋችበትና በሰላም ረገድ ትልቅ ጥያቄ ውስጥ የወደቅንበት ፈታኝ ሁኔታ ውስጥ ነው ያለነው።

የአገራዊ እሴቶችንና ገንቢ አስተሳሰቦችን ወደ ኋላ ጥሎ ከውጪ የሚመጣውን የወቅቱ ፓለቲካ አስተሳሰብ ይዞ፣ በዛም ተሞክሮ ላይ አግላይና ጠቅላይ የሆነ የፓለቲካ ስርዓት ነው። 

ይህ በመሆኑም አገራችን ለከፋ ኢኮኖሚያዊ፣ ፓለቲካዊና ማኀበራዊ ምስቅልቅሎችና ከፍተኛ ችግሮች ዳርጓታል። 

የተፈጠረውን ምስቅልቅል ለማስወገድ ፦
- በአገሪቱ ውስጥ አገራዊ መግባባት መፍጠር፣ 
- በሕዝቦች መካከል የተፈጠረውን መናቆርና ልዩነት የማራገብ ሂደት ማርገብ፣
- ብሔራዊ እርቅ የሚወርድበትን ሁኔታ ማመቻቸት አለብን፤
- ሁሉም ባለድርሻ አካላት ባለቤት ሆነው የመፍትሄው አካል መሆን አለባቸው። ""

Q. የኑሮ ውድነቱ ሕዝቡን ፈትኖታል። ፓርቲዎ ለመንግስት ያለው መልዕክት ምንድን ነው ?

አቶ ግርማ በቀለ ፦

"" በፓለቲካ መሪነት ሳይሆን እንደ አንድ የኢትዮጵያ ዜጋ እየኖርን ያለነው በአንዳች ተዓምር እንጂ የእውነት የወር አስቤዛ ለአንድ ቀን እንኳ የማይሆንበት ደረጃ ላይ የደረስንበት ሁኔታ ነው ያለው። 

የዛሬ 20 ዓመት በአንድ ብር አንድ ሊትር ወተት ገዝቼ ነው ልጅ ያሳደኩት። አሁን ዋጋውን ሁላችንም እናውቀዋለን። ሕዝቡ ግን ይሄ ሁሉ እየሆነ በፈጣሪ እርዳታ አለ። ""

Q. በቀጣዩ ምርጫ ተመራጭ ሆኖ ለመመቅረብ ምን ዝግጅት እያደረጋችሁ ነው ?

አቶ ግርማ በቀለ ፦

"" ➡️ የብሔራዊ መግባባትና የሀገራዊ እርቅ ጉዳይ ላይ ቁጭ ብለን እስካልተነጋገርን ድረስ፣

➡️ አገሪቱ ውስጥ ላሉት ፓለቲካዊ፣ ማኅበራዊ ምስቅልቅሎች መፍትሄ እስካላበጀን ድረስ፤ 

➡️ ዋና ዋና የባለድርሻ አካላት ለዚች አገር ችግር መፍትሄ እስካልነደፉ ድረስ፣ እዚህ አገር ስለምርጫ ማሰብ ቀልድ ነው። ""

Q. መልካም አስተዳደርን ስለመረዘው ብልሹ አሰራር ፓርቲዎ ምን ይላል ? 

አቶ ግርማ በቀለ ፦

"" የዚህ አይነት ብልሹ አሰራር በአገራችን በታሪክ ውስጥ የገጠመን ጊዜ የለም በአጭሩ። አመሰግናለሁ ! ""

#TikvahEthiopiaFamilyAA
#HiberEthiopia #ሕብር

@tikvahethiopia",2024-05-22 09:12:41+00:00
87813,,2024-05-22 09:12:41+00:00
87812,"#ኢትዮጵያ #አካልጉዳተኞች

“ አጠቃላይ የሆነ የአካል ጉዳተኞች የህግ ማዕቀፍ እንፈልጋለን ” - የህግ ባለሙያ አካል ጉዳተኞች ማኀበር

የኢትዮጵያ የህግ ባለሙያ አካል ጉዳተኞች ማኀበር  “ ስለረቂቅ የአካል ጉዳተኞች መብቶች አዋጅ አያያዝ በኢትዮጵያ የመወያያ መነሻ ሀሳብ ” በሚል ርዕሰ ጉዳይ ከፍትህ ሚኒስቴር የሕግ ማርቀቅ ባለሙያዎቸ ጋር ከሰሞኑን የምክክር አውደ ጥናት አድርጓል።

የምክክር አውደ ጥናቱ ዋነኛ ዓላማ በኢትዮጵያ የሚገኙ ከ20 ሚሊዮን በላይ አካል ጉዳተኞች ተጠቃሚ ያልሆኑባተቸውን፦
- የኢኮኖሚ፣
- የትምህርት፣ 
- የቅጥር፣ 
- የማኅበራዊ ተሳትፎዎችና የመብት ጥሰቶች ችግሮችን እንዲቀረፍ “ ሁለንተናዊ የአካል ጉዳተኞች መብቶች አዋጅ ” ለማውጣት ማኀበሩ ከአጋር አካላት ጋር በተዘጋጀው ረቂቅ አዋጅ ላይ ውይይት ማድረግ ነበር።

በመርሀ ግብሩ የተገኘው ቲክቫህ ኢትዮጵያ፣ ያሉት አካል ጉዳተኞችን የተመለከቱ ህጎችስ በትክክል እየተፈጸሙ ነው ወይ ? ይህ ረቂቅ አዋጅስ በዘርፉ  ያሉትን ችግሮች ለመቅረፍ ምን ጉልህ ሚና አለው ? ሲል ማኀበሩን ጠይቋል።

የማኀበሩ ዋና ዳይሬክተር አቶ ሙሴ ጥላሁን በሰጡት ቃል፣ “ አካል ጉዳተኞችን የሚመለከቱ የተወሰኑ (ጥቅል/ግልፅ ያልሆኑ) ህጎች አሉ። በአጠቃላይ አካል ጉዳተኞችን በማስመልከት ኢትዮጵያ ውስጥ የነበሩ ህጎች በርካታ ችግሮች አሉባቸው ” ብለዋል።

የተወሰኑ ህጎች ቢኖሩም፦
- ጥቅል/ግልጽ ያልሆኑ፣
- አስፈጻሚ አካል የሌላቸው፣
- ተጠያቂነትን የማያሰፍኑ፣ 
- ዝርዝር መመሪያ የሌላቸው በመሆናቸው የነበሩት ህጎች አስቻይ ሁኔታ እንዳይፈጥሩ አድርጓቸዋል ” ነው ያሉት።

“ ወቅቱን የዋጀ የወቅቱን የአካል ጉዳተኞች ጥያቄ ሊመልስ የሚችል ዓለም አቀፍ የአካል ጉዳተኞች እንቅስቃሴን መሠረት ያደረገ አዋጅ የለም ” ያሉት አቶ ሙሴ፣ በሂደት ላይ ያለው “ ሁለንተናዊ የአካል ጉዳተኞች መብቶች አዋጅ ” ሲወጣ ችግሩን ሊቀርፍ እንደሚይችል አስረድተዋል።

ረቂቅ አዋጁ፦
- የአካል ጉዳተኞችን ተጠቃሚነት ለማረጋገጥ ግልጽ የሆነ በጀት እንዲኖር፣
- የአካል ጉዳተኛ ቤተሰቦች የሚደርስባቸውን መገለልና አድሎ ችግር የሚቀርፍ፣ 
- አካል ጉዳተኞች በህንፃ፣ ትምህርት፣ በትራንስፖርት ተደራሽነታቸው እንዲረጋገጥ የሚያደርግ፣ 
- ከውጩ ሀገራት የሚገቡ አካል ጉዳተኞች የሚጠቀሙባቸው መሳሪያዎች ከቀረጥ ነጻ እንዲገቡ ጭምር የሚደነግግ መሆኑን ተናግረዋል።

#TiavahEthiopiaFamilyAA

@tikvahethiopia",2024-05-22 09:11:30+00:00
87811,,2024-05-22 09:11:30+00:00
87810,,2024-05-22 09:11:30+00:00
87809,,2024-05-22 09:11:30+00:00
87808,"#Tecno #Camon30Pro5G

Tecno Camon 30 pro 5G  በአስገራሚ ቴክኖሎጂዎች እና በአገልግሎቱ ልቆ የቀረበ የዘመኑ ምርጥ ስልክ! 

#Camon30Et #Camon30pro5GEt #Camon30 #Camon30Pro5G #TecnoEt",2024-05-22 09:11:21+00:00
87807,"ሁሉንም የግንባታ ባለሙያዎች እየጠራን ነው።

በቢግ ፋይቭ ኮንስትራክት ኢትዮጵያ 2016 ለይ የሚሳተፉ ከ150 በላይ የግንባታው ዘርፍ ብራንዶችን ይተዋወቁ። 

ዩናይትድ አረብ ኢምሬት፣ ጣልያን፣ ጀርመን፣ ኢትዮጵያ፣ ሳውዲ አረቢያ፣ ህንድ፣ ቱርክና ኦስትሪያን ጨምሮ ከተለያዩ 20 ሃገራት ተወክለው ከሚመጡ ተሳታፊዎች(አቅራቢዎች) ጋር ይገናኙ።

የአቅራቢ ድርጅቶችን ዝርዝር ይመልከቱ፦ https://bit.ly/44BfWyw

ይህ በዘርፉ መልካም ስም ካተረፉ ድርጅቶች ጋር የመገናኘት አስደሳች አጋጣሚ አያምልጥዎ! 

በነጻ ለመግባት እዚህ ይመዝገቡ https://bit.ly/3UsrL5I 

በቢግ ፋይቭ ኮንስትራክት ኢትዮጵያ",2024-05-22 09:11:15+00:00
87806,"#ኢትዮጵያ #ታሪክ

የቀድሞው ፕሬዜዳንት ሀገር ጥለው ከወጡ በኃላ ለ7 ቀናት ኢትዮጵያን ያስተዳደሩት ሌ/ጀነራል ተስፋዬ ገ/ኪዳን ናቸው።

የ7 ቀኑ መንግሥት በወቅቱ ' የተስፋዬዎች መንግስት ' የሚል ስም ተሰጥቶት ነበር። ይህ ስያሜ የተሰጠው ፦

- ተስፋዬ ገ/ ኪዳን ➡️ ተጠባባቂ ፕሬዜዳንት
- ተስፋዬ ዲንቃ ➡️ ጠቅላይ ሚኒስትር
- ተስፋዬ ወልደስላሴ ➡️ የሀገር ውስጥ ጉዳይ ሚኒስትር
- ተስፋዬ ታደሰ ➡️ የውጭ ጉዳይ ሚኒስትር ሆነው በመሾማቸው ነው።

ሌ/ጄነራል ተስፋዬ በተለይም ፦

"" #የኢትዮጵያ_ህዝብ_ሰላም_ጠምቶታል። የችግሮች ሁሉ ምንጭ የሰላም መታጣት በመሆኑ ቀዳሚው ጉጉቱና ናፍቆቱ ሰላም ነው። 

በሰሜንም ሆነ በደቡብ፣ በምስራቅም ሆነ በምዕራብ በመሃልም ሆነ በደንበር ኢትዮጵያዊ እናት፣ ኢትዮጵያዊ አባት፣ የወደፊት ባለተስፋ የሆነው ወጣት ሁሉ ከምን ጊዜ በላይ ምኞቱ ሰላም ነው። "" በሚለው ንግግራቸው ይታወሳሉ።

ከ7 ቀናት የ ' ተስፋዬዎች መንግሥት ' በኃላ ኢህአዴግ ሀገሪቷን ተቆጣጠረ ፤ 17 ዓመታትን በስልጣን ላይ የቆየው ደርግም እስከወዲያኛው ላይመለስ አከተመ።

#ኢትዮጵያ #Ethiopia 
#TikvahEthiopia

@tikvahethiopia",2024-05-21 19:45:20+00:00
