id,message,date
436,,2024-05-20 11:47:47+00:00
435,,2024-05-20 11:47:47+00:00
434,,2024-05-20 11:47:47+00:00
433,,2024-05-20 11:47:46+00:00
432,,2024-05-20 11:47:46+00:00
431,"ለኢሚግሬሽንና ዜግነት አገልግሎት የውጭ ዜጎች ቁጥጥርና ቆንስላ ጉዳዮች ዳይሬክቶሬት ሰራተኞች ስልጠና መሰጠቱ ተገለጸ፡፡

የተገልጋዮች/ደንበኞች አያያዝ፣ የውጭ ዜጎች ቁጥጥርና ቆንስላ ጉዳዮች ዳይሬክቶሬት ተግባርና ኃላፊነት እንዲሁም የሃሰተኛና የተጭበረበሩ ሰነዶች ልየታ ላይ ያተኮረ በስልጠናና ስርፀት ዳይሬክቶሬት አዘጋጅነት በአደማ ከተማ ካኔት ሆቴል ከግንቦት 10-11/2016 ዓ.ም መሰጠቱ  የተገለጸ።

በስልጠናው መክፈቻ ተገኝተው የመክፈቻ ንግግር ያደረጉ የዉጭ ዜጎች ቁጥጥርና ቆንስላ ጉዳዮች  ዳይሬክቶሬት ዳይሬክተር  አቶ ዲሪባ ባቡ ስልጠናው ተቋሙ የጀመረው የሪፎርም ሂደት የተቋሙ የሰው  ኃይል በአቅም መገንባት ቁልፍ አካል እንደሆነና ተጠናክሮ እንደሚቀጥል የገለፁ ሲሆን በተመሳሳይ  በተቋሙ የሚስተዋሉ የደምበኛ አያያዝ ክፍተት ከሞምላትና ሃሰተኛና የተጭበረበሩ ሰነዶች በመጠቀም በህገውጥ መንገድ አገር ውስጥ የሚንቀሳሱ የውጭ አገር ዜጎች በመቆጣጠርና ህጋዊ የውጭ ዜጎች እንቅስቃሴ ለመቆጣጠር ትልቅ ሚና እንደሚነረው ገልጿል።

በመጨረሻም ሰልጣኞች በስልጠናው ያገኙት አቅም ወደ ተግባር በመለወጥ ተቋሙ የጀመረው የለውጥና ሪፎሩም ትግበራ የበኩላችው እንዲወጡ አሳስቧል።

የስልጠናና ስርጸት ዳይሬክቶሬት ዳይሬክተር አቶ ከተማ አለሙ   እንደ ተቋም የሚነሱብንን የደንበኞች/ተገልጋዮች አያያዝ ውስንነቶች በአግባቡ በመረዳትና ትርጉም በመስጠት የሚስተካከሉበትን ሁኔታ በማመቻቸት ተገልጋዮች በአገልግሎት አሰጣጣችን እርካታ እንዲያገኙ በማድረግ ረገድ የበኩላችንን አስተዋጾ መወጣት እንዳለብን ተነገሩ።

ስልጠናው የደምበኛ አያያዝ፣ የውጭ ዜጎችና ቆንስላ ጉዳዮች ተግባርና ኃላፊነት እንዲሁም ሃሰተኛና የተጭበረበሩ ሰነዶች ልየታ በሚሉ የስልጠና ሰነዶች ቀርበው  በመድረኩ ሰፊ ውይይት ተደርጎ ስልጠናው ተጠናቋል።
__
Telegram: https://t.me/ICS_Ethiopia
Facebook: https://www.facebook.com/ICSEthiopia
Twitter: https://twitter.com/ics_ethiopia
TikTok: https://www.tiktok.com/@ics_ethiopia
LinkedIn: https://www.linkedin.com/company/icsethiopia
YouTube: https://www.youtube.com/@Ics_Ethiopia
Instagram: https://www.instagram.com/icsethiopia/",2024-05-20 11:47:46+00:00
429,,2024-05-17 12:56:37+00:00
428,"በ11/09/2016 ዓ.ም ፓስፓርት የምትወስዱ ደንበኞቻችን በ 7876 አጭር የፅሁፍ መልዕክት የላክን ሲሆን  እሁድ ግንቦት 11/2016 ዓ.ም ከጠዋቱ 3:00-06:00 ሰዓት ጎተራ በሚገኘው ኢሚግሬሽን ቢሮ በመገኘት  ፓስፖርታችሁን መውሰድ የምትችሉ መሆኑን እየገለፅን ወደ ተቋማችን ስትመጡ ኦንላይን ያመለከታችሁበትን ፕሪንት አውት ይዛችሁ እንድትመጡ እናሳስባለን።

የኢሚግሬሽንና ዜግነት አገልግሎት

We've sent a text message to our customers scheduled for passport collection on May 19, 2024. If you've received a text message from us via 7876, please visit our Gotera Office in Addis Ababa on Sunday, May 19, 2024. Our offices will be open from 9:00 AM to 12:00 PM for passport collection. Remember to bring a printout of your online application form when you visit us.

Immigration And Citizenship Service

__

Telegram: https://t.me/ICS_Ethiopia
Facebook: https://www.facebook.com/ICSEthiopia
Twitter: https://twitter.com/ics_ethiopia
TikTok: https://www.tiktok.com/@ics_ethiopia
LinkedIn: https://www.linkedin.com/company/icsethiopia
YouTube: https://www.youtube.com/@Ics_Ethiopia
Instagram: https://www.instagram.com/icsethiopia/",2024-05-17 12:56:27+00:00
427,,2024-05-15 14:39:39+00:00
426,,2024-05-15 14:39:39+00:00
425,,2024-05-15 14:39:39+00:00
424,"የኢሚግሬሽንና ዜግነት አገልግሎት ዋና ዳይሬክተር ወ/ሮ ሰላማዊት ዳዊት የቻይና ብሔራዊ የኢምግሪሽን አስተዳደር ምክትል ኃላፊ ኮሚሽነር ሊዩ ሃይታኦ በቢሮአቸው ተቀብለው አነጋገሩ።

የሁለቱ ተቋማት ከፍተኛ ኃላፊዎች በቅንጅት አብሮ መስራት በሚያስችላቸው ጉዳዮች በተለይም የኢሚግሬሽን ዘርፉን ከማዘመን፣ የድንበር ቁጥጥር ስርዓቶችን ማሻሻል እንዲሁም የአቅም ግንባታ ዙሪያ የመከሩ ሲሆን በተለይ ሕጋዊ  የጉዞ ሰነዶችን ከሐሰተኛ ሰነዶች (forged documents) መለየት በሚያስችሉ ቴክኖሎጂዎች ዙሪያ ልምድ ለመለዋወጥ እና ድጋፍ ለማድረግ ተስማምተዋል፡፡ 

የቻይና ብሔራዊ የኢምግሬሽን አስተዳደር ምክትል ኃላፊ ኮሚሽነር ሊዩ ሃይታኦ የኢሚግሬሽንና ዜግነት አገልግሎትን ለልምድ ልውውጥ ወደ ተቋማቸው ጋብዘዋል።

ክቡር ምክትል ኮሚሽነር ሊዩ ሃይታኦ ኢትዮጵያ በአፍሪካ ልዩ ሚና የምትጫወት ሀገር መሆኗን አንስተው ዘርፉን ማዘመንና ማሻሻል በዓለም አቀፍ የህዝብ ደህንነት ዙሪያ ከፍተኛ ሚና የሚጫወት መሆኑን ተናግረዋል።


Telegram: https://t.me/ICS_Ethiopia
Facebook: https://www.facebook.com/ICSEthiopia
Twitter: https://twitter.com/ics_ethiopia
TikTok: https://www.tiktok.com/@ics_ethiopia
LinkedIn: https://www.linkedin.com/company/icsethiopia
YouTube: https://www.youtube.com/@Ics_Ethiopia
Instagram: https://www.instagram.com/icsethiopia/",2024-05-15 14:39:39+00:00
423,,2024-05-15 11:03:43+00:00
422,,2024-05-15 11:03:43+00:00
421,"የሚኒስትሮች ምክር ቤት በዛሬው ዕለት ባካሄደው 32ኛ መደበኛ ስብሰባ የኢሚግሬሽንና ዜግነት አገልግሎት ባቀረባቸው 3 ረቂቅ አዋጆች እና 1 ረቂቅ ደንብ ላይ ተወያይቷል። 
 
ግንቦት 7 ቀን 2016 ዓ.ም
አዲስ አበባ

የመጀመሪያው የኢሚግሬሽን አዋጅ ቁጥር 354/1995ን ለማሻሻል የቀረበ ረቂቅ አዋጅ ሲሆን መሰረታዊ ከሆኑ መብቶች አንዱ የሆነውን የመዘዋወር ነፃነትን ለማስከበር፣ የኢሚግሬሽን አገልግሎቶችን ለኢትዮጵያዊንና ለውጭ አገር ዜጎች በተሻለ ጥራትና ቅልጥፍና መስጠት እንዲቻል፣ የተቀናጀ የድንበር ቁጥጥር እና አስተዳደር ስርዓት በመዘርጋት የተሟላ የመንገደኛ ቅድመ ጉዞ መረጃ መያዝ አስፈላጊ በመሆኑ ማሻሻያ ረቂቅ አዋጁ ተዘጋጅቶ ለሚኒስትሮች ምክር ቤት ቀርቧል፡፡

ሁለተኛው የኢሚግሬሽንና ዜግነት አገልግሎትን በድጋሚ ለማቋቋም የወጣ ረቂቅ አዋጅ ሲሆን ተቋሙ በሚሰጠው አገልግሎት የዜጎችን ፍላጎት የሚያሟላ፣ የግልጽነትና የተጠያቂነት ስርዓት የሰፈነበት እንዲሆን፣ የአገራችንን ብሄራዊ ጥቅምና ደህንነት በሚገባ የሚያስጠብቅ ስልጣንና አደረጃጀት እንዲኖረው ማድረግ አስፈላጊ በመሆኑ ረቂቅ አዋጅ ተዘጋጅቶ ለሚኒስትሮች ምክር ቤት ቀርቧል፡፡ 

ሶስተኛው የሲቪል እና ቤተሰብ ምዝገባ ረቂቅ አዋጅ ሲሆን የሲቪልና ቤተሰብ ምዝገባ ስርዓትን በማሻሻል አገልግሎት አሰጣጥን ቀልጣፋ፣ ተደራሽ፣ ግልጽና ውጤታማ ማድረግ፣ የመንግስት አገልግሎት ሰጪ ተቋማት መሰረታዊ የዜጎችን መብትና ነፃነት ለማክበርና ለማስከበር ሁሉን አቀፍ የምዝገባ ስርዓት መዘርጋት የሚገባ በመሆኑ ረቂቅ አዋጅ ተዘጋጅቶ ለምክር ቤቱ ቀርቧል፡፡ 

ምክር ቤቱም በቀረቡት 3 ረቂቅ አዋጆች ላይ በሰፊው ከተወያያ በኋላ ግብዓቶችን በማከል ወደ ህዝብ ተወካዮች ምክር ቤት እንዲተላለፉ በሙሉ ድምጽ ወስኗል፡፡

አራተኛው ምክር ቤቱ የተወያየበት ጉዳይ የኢሚግሬሽንና ዜግነት አገልግሎት ለሚሰጣቸው አገልግሎቶች የሚያስከፍለውን ክፍያ ለመወሰን በቀረበ ረቂቅ ደንብ ላይ ነው፡፡ 

ተቋሙ የሚሰጣቸውን አገልግሎቶች ማስፋት፣ የአገልግሎቶቹን የጥራት ደረጃ ማሻሻል፣ ብሎም የተጠቃሚውን ማህበረሰብ አቅም ባገናዘበ መልኩ አገልግሎት ለመስጠት ያወጡትን ወጪ መሸፈን የሚያስችል ስርዓት መዘርጋት በማስፈለጉ ረቂቅ ደንቡ ተዘጋጅቶ ቀርቧል፡፡ ምክር ቤቱም በረቂቅ ደንቡ ላይ ከተወያየ በኋላ ግብዓቶችን በማከል በነጋሪት ጋዜጣ ታትሞ ከወጣበት ቀን ጀምሮ በስራ ላይ እንዲውል በሙሉ ድምጽ ወስኗል፡፡

Telegram: https://t.me/ICS_Ethiopia
Facebook: https://www.facebook.com/ICSEthiopia
Twitter: https://twitter.com/ics_ethiopia
TikTok: https://www.tiktok.com/@ics_ethiopia
LinkedIn: https://www.linkedin.com/company/icsethiopia
YouTube: https://www.youtube.com/@Ics_Ethiopia
Instagram: https://www.instagram.com/icsethiopia/",2024-05-15 11:03:43+00:00
