id,message,date
323,"💠እንኳን ለትንሳኤ በዓል አደረሳችሁ፣ አደረሰን! 

መልካም በዓል። 

@EliasMeserett",2024-05-04 14:10:54+00:00
322,"💠አስተያየት እና ጥቆማ ለምታደርሱኝ፣

አካውንቶቼ ለተወሰኑ ሳምንታት ዝግ ሆነው ይቆያሉ፣ ሁሉንም መልእክቶቻችሁን ላልመለከት ስለምችል አቆዩልኝ። 

መልካም ግዜ 👋👋

@EliasMeserett",2024-04-16 04:38:46+00:00
321,,2024-04-16 04:10:01+00:00
320,"💠Genocide 

የዘር ፍጅት (ጄኖሳይድ) እንዳይፈጸም በመከላከል እና ሲፈጸምም በማስቆም ላይ የሚሰራው ተቋም "" የጄኖሳይድ ዎች "" ባደረገው ምርምር የሰው ልጆች ልባቸው ሲደድር የሚጠናወታቸው የዘር ጭፍጨፋ አባዜ 8 ደረጃዎች አሉት።

እነዚህም #በተደራጀ እና #ተቋማዊ በሆነ መንገድ የሚፈጸሙት ናቸው።

ደረጃዎቹ :-

1ኛ. መከፋፈል (Classification) - እኛና እነርሱ ብሎ በመከፋፈል ለየት ይላሉ ተብለው ሚታሰቡትን የኅብረተሰብ ክፍሎች #በቀልድም_ጭምር በማንቋሸሽ በሰዎች መካከል ያለውን ልዩነት አለማክበር።

2ኛ. የሚታይ መገለጫ መስጠት (Symbolization) - ይህ የጥላቻ ግልጽ መገለጫ ሲሆን ይሁዲዎች በናዚ ጀርመን ቢጫ ኮከብ ያለበት ልብስ እንዲለብሱ እንደተደረገው ነው፡፡

3ኛ. ከሰው ክብር ዝቅ ማድረግ (Dehumanization) - ይህ ተግባር ከራስ የተለዩትን ሰብዓዊ ክብርም ሆነ መብት በመንፈግ ይፈጸማል፡፡ በሩዋንዳ አክራሪ ሁቱዎች የቱትሲ ዘውግ ተወላጆችን "" #በረሮ ፣ #እባብ "" ይሏቸው እንደነበረው መሆኑ ነው፡፡ ይህ ሂደት ገዳዮቹ ' እየገደልን ያለነው ሰው አይደለም፤ ታዲያ ድርጊታችን ምኑ ላይ ነው ጥፋትነቱ ? ' እንዲሉ መንገዱን ይጠርግላቸዋል፡፡

4ኛ. ማደራጀት (Organization) - በጥላቻ ላይ የተመሠረቱ መንግሥታት አንድን ሕዝብ የሚያጠፋላቸውን ኃይል #ያሰለጥናሉ፡፡

5ኛ. በተቃራኒ ጎራዎች ማሰለፍ (Polarization) - ሕዝቡ በዘውጉ ከጨፍጫፊው እና ከተጨፍጫፊው ወገን ሚናውን እንዲለይ ይደረጋል፡፡ በብዛት ይህ የሚሆነው በጥላቻ ቡድኖች ውትወታ በመገናኛ ብዙሃን የጥላቻውን መርዝ በመርጨት ነው፡፡ አንዱን ዘውግ ከሌላው ለይቶ በማውጣት "" ጠላት ነው "" ብሎ ማወጅ ፤ ይህ የገዳዩን ዘውግ አባላት በቀላሉ ለማሳመንና ለህሊናው እንዲቀለው ለማድረግ ጥቅም ላይ የሚውል ነው።

6ኛ. ዝግጅት (Preparation) - ሰለባዎቹ በልዩነቶቻቸው ተለይተው ይፈረጃሉ፡፡ የጭፍጨፋው ንድፍ አውጭዎች ሰዎችን በመኖሪያ አድራሻቸውና በሌሎችም መለያዎች ይፈርጁና ለፍጅት ያዘጋጇቸዋል፡፡

7ኛ. ፍጅት (Extermination) - በታቀደና ሆነ ተብሎ በተመቻቸ ዘመቻ የጥላቻ ቡድኖቹ ሰለባዎቻቸውን ይጨፈጭፋሉ፡፡ በሚሊዮን የሚቆጠሩ ሰዎች በዘር ፍጅት ማንነታቸውን መለየት እስኪከብድ ድረስ ተጨፍጭፈዋል፡፡

8ኛ. ክህደት (Denial) - ግድያውን የፈጸሙትም ሆኑ ቀጣይ ትውልዶች ምንም ዓይነት ጥፋት ያልተፈጸመ በማስመሰል ክህደት ይፈጽማሉ፡፡

ከዚህ የጭፍጨፋ ሂደት እንደምንረዳው የዘር ፍጅት በአንድ ሌሊት ያለምንም ዝግጅት ስለማይፈጸም ራሳችንን ከላይ ከተጠቀሱት በሌላው ላይ ጉዳት ከሚያደርሱ ከስተቶች ፈጽሞ ማራቅና የዕለት ከዕለት ድርጊቶቻችንን መገምገምም ያሰፈልገናል።

እነዚህን የዘር ፍጅት አመላካች ሂደቶች በማናቸውም ደረጃ በእንጭጩ መቅጨት ከተቻለ የከፋ እልቂትን ሙሉ በሙሉ ማስቀረት ይችላል።

ሁቱትሲ
ኢማኪዩሌ ኢሊባጊዛና ስቲቭ ኤርዊን
በመዘምር ግርማ

#Rwanda2024 #Kwibuka #Remembering

ቲክቫህ ኢትዮጵያ


@EliasMeserett",2024-04-16 04:10:01+00:00
319,"💠Update የአለም ምግብ ፕሮግራም (WFP) በድሬዳዋ ነፃ የንግድ ቀጠና ዙርያ ባቀረብኩት መረጃ ላይ ያደረሰኝ መረጃ 

በድሬዳዋ ነፃ የንግድ ቀጠና ውስጥ ከሚገኝ የምግብ ማከማቻ መጋዘን ውስጥ ለተራቡ ዜጎች ተብለው የሚወጡትን የምግብ አይነቶች እዛው የንግድ ቀጠና ውስጥ ፓኬጁ ላይ ባንዲራ በመጨመር እየታሸጉ እንደሆነ አንድ መረጃ አቅርቤ ነበር። 

በዚህ ዙርያ የአለም ምግብ ፕሮግራም ይህን መረጃ አድርሶኛል: 

""WFP procured 50,000 MT of wheat on behalf of the EDRMC from WFP’s Global Commodity Management Facility (GCMF) - WFP's regional storage facility for purchased commodities - for EDRMC’s humanitarian support to communities affected by drought, floods, and conflict in Ethiopia. The wheat purchased from WFP by EDRMC is being collected from WFP’s warehouses in Dire Dawa after it has been transferred from UN bags to those provided by the government, ready for distribution. WFP occasionally leverages its extensive procurement expertise and networks to provide food procurement services to partners allowing them to respond to food needs in a timely manner."" 

ለመረጃው የአለም ምግብ ፕሮግራምን እያመሰገንኩ ከለጋሽ ድርጅቶች የሚለገሱ የምግብ አይነቶችን 'በኢትዮጵያ የተመረተ' በሚል ማሸግያ ቀይሮ ማውጣት ለምን እንዳስፈለገ የሚመለከተው የመንግስት አካል አስተያየት ቢሰጥበት መልካም ነው እላለሁ። በቅርብ ወራት የእርዳታ ምግብ ምን ሲደረግ እንደነበር የሰማን/የምናውቅ እና እርዳታው ለተጠቃሚው ህዝብ እንዲደርስ የምንፈልግ ሁሉ ይህን መጠየቅ አለብን። 

@EliasMeserett",2024-04-16 03:24:45+00:00
318,"👌👌

@EliasMeserett",2024-04-15 05:01:11+00:00
317,"💠የትብብር ጥያቄ! 

ዶ/ር እደግልኝ ሀይሉ ፓስፖርታቸው ትናንት (ቅዳሜ) አዲስ አበባ ብሔራዊ አካባቢ ጠፍቶባቸዋል። ፓስፖርቱን ያገኘ ሰው ቢተባበራቸው ውለታውን ይከፍላሉ። 

ስልክ ቁጥራቸው: 0936454509

@EliasMeserett",2024-04-15 04:42:47+00:00
316,"💠የዛሬ 50 አመት የኢትዮጵያ ኢኮኖሚ ከካናዳ፣ ከሳውዲ አረቢያ፣ ከቱርክ፣ ከአውስትራሊያ፣ ከጣልያን... ወዘተ ይበልጣል? 

አንዳንድ 'ተቀፅላዎች' ይህን ስክሪንሾት በስፋት ሲያጋሩ እንደነበር ጥቆማዎች ደርሰውኝ ነበር፣ እንዲጣራም የጠየቁ አሉ። ነገሩ እንዲህ ነው፣ 

መረጃው በ Goldman Sachs የ 2022 ሪፖርት ላይ የተመሰረተ ሲሆን የኢትዮጵያ ኢኮኖሚ እ.አ.አ በ 2075 ወይም የዛሬ 50 አመት 6.2 ትሪሊየን ዶላር የማደግ እድል እንዳለው ይጠቁማል። በዚህ መረጃ ላይ ታድያ እነ ከካናዳ፣ ሳውዲ አረቢያ፣ ቱርክ፣ አውስትራሊያ፣ ጣልያን ከኢትዮጵያ በታች የተቀመጡ ሲሆን ቻይና፣ ህንድ እና አሜሪካ ከ 1-3 ያለውን ቦታ ይዘዋል። 

እውነታው ግን ወዲህ ነው፣ 

እንዲህ አይነት የኢኮኖሚ እድገት ትንበያዎች በአብዛኛው የወደፊት የማደግ አቅምን የሚያሳዩ ሲሆን በርካታ አሁናዊ እና የወደፊት እድሎችን እና መሰናክሎችን አያካትትም። በተጨማሪም ይህ አሀዝ በከፍተኛ ደረጃ የሚንተራሰው የህዝብ ብዛት ቁጥር ላይ ነው። 

የኢትዮጵያ ህዝብ ብዛት በ2075 አካባቢ 281 ሚልዮን  ይገመታል፣ ይህም ለከፍተኛ ምርታማነት እና የኢኮኖሚ እድገት መሰረት የመሆን እድል አለው። ሪፖርቱ የጠቀሰውም ይህን ነው። 

ይሁንና ተቀፅላዎቹ ሊያቀርቡት እንደፈለጉት ይህ ብቻውን የሀብት ወይም እድገት መለኪያ እንዳልሆነ አለም ተግባብቷል። ትክክለኛ እድገት መለኪያው ፍትሀዊ የሀብት ክፍፍል፣ የኑሮ ደረጃ መሻሻል፣ እንደ ውሀ፣ መኖርያ ቤት እና ኤሌክትሪክ ላሉ አገልግሎቶች ያለ ተደራሽነት... ወዘተ መሆናቸውን ራሱ Goldman Sachs ይጠቅሳል። 

- የጋሪ እና ፈረስ ትራንስፖርት እናመጣለን እየተባለ ወደ ቀደመው ክፍለ ዘመን ወደኋላ ለመሄድ እየተንደረደርን 

- በአለም ትላልቅ የሚባሉ ግጭቶች፣ ጦርነቶች፣ መፈናቀሎች እና ስደቶች እያስተናገድን 

- የህዝብ የመኖር፣ የቤት ባለቤትነት፣ የስራ እና ተንቀሳቅሶ የማምረት አቅም እየተፈተነ... ወዘተ ባለበት ወቅት ይህን ትንበያ ይዞ ከካናዳ እና አውስትራልያ ልንበልጥ ነው ማለት ማደንዘዣ እንጂ ምንም ሊሆን አይችልም። 

ብቻ መልካሙን ለሀገራችን እንመኛለን። 

@EliasMeserett",2024-04-14 17:28:07+00:00
315,"💠ለእርሻ፣ ለኮንስትራክሽን እና ተያያዥ አገልግሎቶች የሚውሉ ትራክተሮች እና ከባድ ተሽከርካሪዎችን ወደ ሀገር ውስጥ እንዳያስገቡ እንደተከለከሉ አስመጪዎች መናገራቸውን ሪፖርተር ጋዜጣ አስነበበን 

ይህም የሆነው ካለምንም መመርያ ሲሆን የትራንስፖርትና ሎጂስቲክስ ሚኒስቴር ያለ ምንም በቂ ምክንያት ""የመኪና ማስገቢያ ፈቃድ አልሰጣችሁም"" እንዳላቸው ገልጸዋል። ስለጉዳዩ ዝርዝር መረጃም የጠቅላይ ሚኒስቴር ጽሕፈት ቤትን ጠይቁ መባላቸውን አመልክተዋል። 

ከሁሉም ግር የሚለው ደግሞ በቅርቡ በከተሞች በእንስሳት የታገዘ ትራንስፖርት እንዲኖር ስራ እየሰራ እንደሆነ የጠቆመው ሚኒስቴር መስሪያ ቤቱ ከባድ ተሽከርካሪዎች በኤሌክትሪክ እንዲሰሩ መጠበቁ ነው። 

በኤሌክትሪክ የሚሰራ ትራክተር? ገልባጭ መኪና? ግሬደር? ቡልዶዘር? 

ታድያ ይህ እየሆነ ያለው በቢልዮን ዶላሮች የሚቆጠር ገንዘብ ለጫካ ፕሮጀክት እየፈሰሰ፣ ተጨማሪ በመቶ ሚልዮን ዶላሮች የሚቆጠር ደግሞ ለከተማ ማስዋብ እና ለቱሪዝም ስፍራዎች ግንባታ እየዋለ ባለበት ወቅት ነው። 

ነዳጅ ለማስገባት የዶላር በእጅጉ መመናመን እንዳለ እንረዳለን፣ ግን በአንድ በኩል ለወደፊት ሊቆዩ የሚችሉ የከተማ ማስዋብ ፕሮጀክቶች ላይ ገንዘብ እየፈሰሰ፣ በዚህ በኩል ደግሞ ያውም ለኢኮኖሚ እድገት ወሳኝ የሆኑትን ግብርናን እና ግንባታን የሚያከናውኑ ቅንጡ ያልሆኑ ተሽከርካሪዎችን መከልከል ምን ያህል misplaced priorities እንዳሉብን ማሳያ ነው። 

@EliasMeserett",2024-04-14 16:35:16+00:00
314,"💠“ከጎጆ ብሪጅ ሀውሲንግ እና ከዳሽን ባንክ ጋር ያለው ግንኙነት እስካሁን አልተቋረጠም”--- የጤና ሚኒስቴር 

""በተያዘው በፕሮግራም መሰረት በዓመት አራት ጊዜ እጣ መውጣት እያለበት እስካሁን 2 ጊዜ ብቻ ወጥቷል""--- የጤና ባለሙያዎች 

ከሰሞኑ በተከታታይ ከሚደርሱኝ ጥያቄዎች አንዱ በጎጆ ብሪጅ ሀውሲንግ ተጭበረበርን የሚሉ ዜጎች ይገኙበታል። ኢትዮጵያ ቼክ የሰራውን ዘገባ ላጋራችሁ ⬇️ 

ከሰሞኑ “ጎጆ ብሪጅ ሀውሲንግ ከጤና ሚኒስቴር ጋር የተፈራረመውን የጤና ዘርፍ ሰራተኞች ቤት ግንባታ ስምምነት አፍርሷል፤ ቤት ለማግኘት ክፍያ የፈጸሙ የጤናው ዘርፍ ሰራተኞችም ተጭበርብረዋል” የሚሉና ኢትዮጵያ ቼክ ጉዳዩን እንዲያጣራ የሚጠይቁ መልዕክቶች ከተከታታዮቻችን ደርሰውናል። 

የጤና ባለሙያዎች ለኢትዮጵያ ቼክ ባደረሱት ተከታታይ መረጃ የከፈሉት ብር ይመለሳል የሚል መረጃ ሲዘዋወር እንደተመለከቱና ይህም ማለት ማህበሩ ፈርሷል ብለው እንዲያስቡ እንዳረጋቸው ጠቁመዋል። 

የጤና ባለሙያዎቹ አክለውም የጎጆ ዕጣ በተያዘው በፕሮግራም መሰረት በዓመት አራት ጊዜ መውጣት እያለበት እስካሁን 2 ጊዜ ብቻ ወጥቷል፣ በውል ስምምነቱ መሰረት በየ 3 ወሩ ነው ዕጣ ይወጣል ቢልም በ ውሉ መሰረት ዕጣ አልወጣም እንዲሁም ችግሮች እንኳን ቢኖሩ እነዚህ ችግሮች ሲፈጠሩ ወቅታዊ መረጃ ለተመዝጋቢዎች አልተሰጡም የሚሉ ቅሬታዎች ቀርበዋል። 

የጤና ሚኒስቴር የጤና ዘርፍ ሰራተኞች የጋራ መኖሪያ ቤት ግንባታ ፕሮጀክትን በተመለከተ ከጎጆ ብሪጅ ሀውሲንግ እና ዳሽን ባንክ ጋር የሶስትዮሽ ስምምነት ተፈራርሞ የመጀመሪያ ዙር እጣ ማውጣት ስነ ሰርዓት የተካሄደው ሰኔ 2015 ላይ ነበር። 

በስነ ሰርዓቱም 200 ጤናው ዘርፍ ሠራተኞች የመጀመርያ ዙር የዕጣ እድለኞች ሲሆኑ ዕጣ  የማውጣት ሂደቱ በየሶስት ወሩ እንደሚቀጥልና እየሰፋ እንደሚሄድም ተጠቁሞ ነበር። ይህ መረጃም በወቅቱ በሚኒስቴሩ የተረጋገጠ የፌስቡክ ገጽ ተጋርቶ ነበር፡ https://m.facebook.com/story.php?story_fbid=pfbid02PnHVv2sH6DiS4B6m3H72FzPTVitoq2k2GBKEcPQyytBMPkZfZFDFctwHqBTWjB9El&id=100064567187444&mibextid=qC1gEa 

ይሁን እንጂ “ሁለቱ ተቋማት መካከል የተፈረመው ስምምነት ፈርሷል” የሚለውን መረጃ መነሻ በማድረግ ኢትዮጵያ ቼክ ከጤና ሚኒስቴር እና ጎጆ ብሪጅ ሀውሲንግ መረጃዎችን ለማግኘት ጥረት አድርጓል። 

በጤና ሚኒስቴር የጤና ዘርፍ ሰው ሀብት ልማት ማሻሻያ መሪ ስራ አስፈጻሚ የሆኑት አቶ አሰግድ ሳሙኤል ጉዳዩን በተመለከተ ለኢትዮጵያ ቼክ መረጃ የሰጡ ሲህን ‘በሁለቱ ተቋማት መካከል የተፈረመው ስምምነት ፈርሷል’ የሚለው መረጃ ሀሰት መሆኑን ነግረውናል። 

“ጤና ሚኒስቴር ከጎጆ እና ከዳሽን ባንክ ጋር ያለው ግንኙነት እስካሁን አልተቋረጠም። ያንን የሚያደርግ ከሆነ ጤና ሚኒስቴር በባለሙያው በኩል ነው የቆመው” ያሉት አቶ አሰግድ፤ “ማንኛውም በዚህ ሂደት ውስጥ የሚያልፍ ነገር ባለሙያው ላይ ማንኛውም አይነት ችግር የሚፈጥር ከሆነ (ጤና ሚኒስቴር) በፍጹም ዝም ብሎ የሚያይበት ነገር አይኖርም። ስለዚህ የመግባቢያ ስምምነቱ እስካሁን አልተቋረጠም” ብለዋል። 

የጤና ሚኒስቴር ከጎጆ ብሪጅ ሀውሲንግ ጋር ስምምነት ሲፈጽም የተቋሙን ህጋዊ ሰነዶችን ተመልክቶ መሆኑን የሚናገሩት ስራ አስፈጻሚው ጎጆ ብሪጅ ሀውሲንግ፤ ዳሽን ባንክና ጤና ሚኒስቴር የተፈራረሙት ስምምነት አላማ 10 ሺህ ቤቶችን በ10 አመት ገንብቶ ለመጨረስ እንደሆነም ነግረውናል። 

ባጠቃላይ ከ8000 በላይ ሰራተኞች የፕሮግራሙ አካል መሆናቸውን የጠቆሙት አቶ አሰግድ፤ እስካሁን በሁለት ዙሮች 400 የጤናው ዘርፍ ሰራተኞች በጋራ የማህበር ቤት እንዲገነቡ እጣ እንደወጣላቸውም ይናገራሉ። 

ይሁን እንጂ “እጣዎቹ ከወጡ በኋላ ችግር የሆነው ከመሬት አስተዳደር፤ ከአዲስ አበባ ማህበራት ማደራጃ ጋር ተያይዞ የተወሰኑ የአሰራር ለውጦች ተደረጉ። ከተማ ውስጥ ያለው ከመሬት ጋር ተያይዞ ያለው ችግርም የሚታወቅ ነው። ከተማ አስተዳደሩ ያንን ማኔጅ ለማድረግ በየጊዜው የሚያወጣቸው አዳዲስ ህጎች አሉ። እነሱ (ሂደቱን) አፌክት አድርገውታል” ብለዋል። 

ስለዚህም እጣ የወጣላቸው እድለኞች በሚፈለገው ጊዜ ግንባታ ያለመጀመራቸውን በመጥቀስ “ትልቁ እኛም የገመገምነው ችግር አሁን ባልኩት ዉስጣዊም ዉጫዊም ችግሮች፤ ጎጆም ጋር ባለው ግንባታው ዘግይቷል የሚል ነው” ብለዋል። 

በተጨማሪም ጤና ሚኒስቴር የጤናው ዘርፍ ሰራተኞችን ለማበርታትና ለማትጋት ከጎጆ ብሪጅ ሀውሲንግ በተጨማሪ ሌላ የመኖሪያ ቤት ማግኛ አማራጮች ላይ እየሰራ መሆኑንም አቶ አሰግድ ሳሙኤል ለኢትዮጵያ ቼክ ነግረዋል። 

በሌ በኩል ጉዳዩን በተመለከተ የጎጆ ብሪጅ ሀውሲንግን አስተያየት ለማግነት ለዋና ስራ አስኪያጁ አቶ አለማዉ ጋሪ ብንደዉልም ለጊዜው መረጃ ማግኘት አልቻልንም።

@EliasMeserett",2024-04-14 06:34:28+00:00
