id,message,date
3720,https://youtu.be/iNaYObLUniw?si=egx88s9plKKei_fZ,2024-04-21 18:13:20+00:00
3719,https://youtu.be/cdgwObZomNQ,2024-04-14 18:26:14+00:00
3718,,2024-04-14 07:27:13+00:00
3717,"እንኳን ደህና ቀሩ 
[Red-8]

ዘጠና ዘጠኙን፡  አልጋዬ ስር ትቼ
አንዳንድ የምናፍቅ፡ ከጠፉት ሉኮቼ
ሥጭር ላቆሰሉኝ፡ ሙቼ ለፃፍኳቸው
አንድ ቀን አግኝቼ፡ ዳግም ላነባቸው፡
ወደ ወደቁበት ፡ ሀገርና  ቅዬ 
ያተጫነብኝን፡ ብዕሬን ፈንቅዬ፡ 
መጣለሁ ያልኩኝ፡ ከሞት ተነስቼ
እኔም ክርስቶስ ነኝ፡ ለጠፉት ግጥሞቼ።

ቢሆንም ቢሆንም፡ 

አዳማ ፍራንኮ፡ ከእርጎ ቤቱ በቀኝ
ይመጣል እያለች፡ የምትጠብቀኝ
ያቺ ወረቀት ግን ፡ ግጥም የፃፍኩባት
እንኳን ጠፍታኝ ቀረች፡ እንኳን ቀረሁባት።

ያቺ ኮብላይ ግጥሜ፡ 
መነሀሪያ አጠገብ፡ ቅጥቅጡ እስኪሞላ
ፍቅሩን በመጠበቅ፡ ለፈረሰ ገላ 
ለማይረካ ናፍቆት፡ ለማይቆረጥ ጥም
ሻንጣዬን አዝዬ፡ በውሃ ጥም ዝዬ፡ የደረስኳት ግጥም
ሲበቃኝ ከኪሴ፡ አጥፌ ያኖርኳት
እንኳን የወደቀች፡ እንኳንም የጣልኳት።

አንዴ በፃፈው ልክ፡ እየተሰፈረ፡
ላንዴ ባፈለቀው፡ ጥቅስ እየታሰረ 
ስንቱ ፈጣሪ ነው፡ ባለበት የቀረ? 
ፍጡር ተነቦ ነው ፡ አምላኩ ሚከበር ፡
ፍጡር ተነቦ ነው፡  አምላኩ ሚቀበር 
እንኳንም ወደቀች...
ብትኖር እሷን ብዬ፡ እዚያው እቀር ነበር።

አፈር ልሆን ሄድኩኝ፡ እሷን ከአፈር ጥዬ
በዝናብ ርሳ፡ በጣይ ተቃጥዬ
ያስተዋወቀንን፡ መልካችንን ትተን
ተላልፈን ይሆናል፡ ይሄኔ ተያይተን።

በተፃፃፍንበት፡  በነበር መች ቆየን?
በየደረስንበት፡ እንዳዲስ ተቃኘን
እሷ በሷ ሆዬ፡ እኔ በትዝታ
ከንግዲህ በኋላ፡ ባገኛትም እንኳ ፡ ከጣልኩበት ቦታ
አትሆነኝም ሎሌ ፡ አልሆናትም ጌታ።

እሷም ብቻ አይደለች፡ ያኮራችኝ ጠፍታ...

ከሶስት ቁጥር ቶታል ፡ በታቦት ማደሪያ
ለፀሀይ ዩኒፎርም ፡ ጋርደን ሰደርያ 
ሲመሽ ከገብርኤል፡ እስከ አቦ ማዞሪያ
መንገዳችን እንጂ፡ ወሬያችን ሳይበቃን
መካኒሳን አልፈን ፡ ሳርቤት በቫቲካን 
ለሚያረማምዱኝ፡ ለወክ አጣጮቼ
የታጠፈች ግጥሜን፡ ከኬሴ አውጥቼ
ቆም ሄድ እያልን፡ የመንገድ ባውዛው፡ በየደመቀበት
ያነበብኩላቸው ፡ የላመች ወረቀት...
ያቺ የዋህ ግጥም፡ «አንድም ሰው እንዳይሞት!» የሚል መዝጊያ ያላት
እንኳን የትም ጠፋች፡ እንኳን የትም ጣልኳት! 

« አንድም ሰው እንዳይሞት? »
አረ ባክሽ?... እውነት? 
የልጅነት ግጥሜ፡ ስሚኝ ተረት ተረት...

ዮኒፎርም አውልቀው፡ ከአብሮ አደግ ርቀው
በዓለም ስቃይ ልክ፡ ልብን አተልቀው  
ከምኞት ደመና፡ በግፍ ወንጭፍ ወርደው
በወክ ካካለሉት ፡ካደጉበት ሰፈር፡ ተነቅለው ተሰደው 
ተቃጥለው ከፃፉት ፡ በሀቅ በፍትሕ ጥም
«አንድም ሰው እንዳይተርፍ!»  ይማፀናል ግጥም።

እንኳን ጠፋታ ቀረች፡ ግጥሜ እንደልጅነት 
ዓለሙን ሳታውቀው ፡ የተፃፈች ጀነት
በምኞት ቡርሿ፡ ሲዖል ለማቆንጀት
ስትጣጣር ያኔ፡ እንኳን ነቃሁባት፡
እንኳን የትም ጣልኳት፡ ይቺ ተረት ተረት...
የወተት ግጥሞቼ፡ እየተነቀሉ፡ ሲበቅል የስጋው
ለነከሰኝ ሁሉ፡ ሰው ብዬ ስጠጋው 
እንኳንስ ልታገል፡ ስለት እንዳይወጋው...
ሞት አንሷል ብዬ ነው፡ አሁን የምሰጋው።

ምን ያቺ ብቻ...?

እየደረሳቸው፡ የመሰወር እጣ
ከሀይስኩል መድረክ፡ ፑሽኪን እስክመጣ
ከአዳማ ክበብ፡ ከግቢ እስክወጣ
ከጦቢያ በጃዝ ፡ከፒክኒክ በረንዳ
ጆሮ እየጠመድኩኝ፡ በስንኝ ልነዳ
ከኪሴ እየሳብኩኝ፡ መመለስ ዘንግቼ 
የትም የጣልኳቸው ፡ ባይተዋር ግጥሞቼ

ያጡትን ለማግኘት፡ ጠፍቶ ከመመኘት 
ተነፋፍቆ  ኖሮ፡ ተጣባብቆ መቅረት
ከሚባል መንትያ ፡ቀንበር ነፃ ይውጡ
ከእንግዲህ ግጥሞቼ ፡ ወደኔ እንዳይመጡ... 

'ጠፍተን ያልተገኘን፡ ልጆችም ነን' ቢሉ
እንድውጣጣባቸው፡ ለተደለደሉ
ሆኜ ለተውኳቸው፡ ሆኜ ላለፍኳቸው፡ አልቀው ለተጣሉ
ላለፉት እኔዎች፡ መቃብሮች ናቸው፡ የፃፍኳቸው ሁሉ።",2024-04-14 07:26:43+00:00
3716,"🥀🥀🥀ልሳምሽ🥀🥀🥀🥀🥀


ያንቺ የመልክ ቁልፍ ከናፈርሽ ውብ ነው
አንቺን ባየሁ ቁጥር ብስማት እላለው
መሳም ትችያለሽ
ሰውን ከምኞት ህልም ታነቂያለሽ
አይ አይመስለኝም
ስመሽ አታነቂም አንቺ
በዚ ውብ ከናፈር ትገያለሽ እንጂ
ግራ ተጋባሁኝ የቱ ነው እውነቱ
አንዴ እሺ በይኝ ልበል የታባቱ
የታባቱ የማር ጣእም መሳይ ከንፈር
የትናቱ የፅድቅ መንገድ የገነት በር
አይሽ አይደል ከንፈርሽን እያሰብኩኝ
ሺ ወጣሁኝ ሺ ወረድኩኝ
እንዴት ይሁን በየት በኩል ብዙ አሰብኩኝ
ከንፈርሽ ጋር እሩብ ሳልደርስ በ ምእናብ ደከምኩኝ
መላ በይኝ እሺ በይኝ
ወደ ጉንሽ ሳቢኝ ና አንዴ ሳሚኝ
ህልም መሳይ የደስታ አለም ብዙ ሀሳብ
አይገርምም ግን ይሄ ሁሉ ባንድ መሳም
አንዴ ስመሽ ይሄንን ሁሉ ካስባልሺኝ
ብትደግሚማ ሰላም ሀገር ላይ አሳበድሺኝ
ይሁን ልበድ ልባል በሽተኛ
ከንፈርሽ መዳኒት ተስሜ ልተኛ



።።።።።።።።።። ገጣሚ ጆ✍።።።።።።",2024-04-11 14:30:53+00:00
3715,"።።።።።።  የኔ ሴት ይሁዳ ።።።።።  


እሷን ማን እንደኔ ብዬ ፎክሬያለሁ
ስልርሷ ባህሪ ከማንነቷ ጋር ተፎካክሬያለሁ
ይሄን ትበላልች ይሄን ትለብሳለች ይሄንማ ተውት እያልኩኝ
እኔ ና እሷማ ድስት እና ክዳን ነን ብዬ እዳልፎከሩኩኝ
ከኔ ውጪ ሌላ ወንድም ወንድ አይመስላት መስሎ እንዳልተሰማኝ
ግራ ጎኔ የኔ ሴት ያልኳት ልጅ ክደቷ አደማኝ
የኔነት ስሜቱ ጠልቆ እዳልተሰማኝ ስሟ ስሜ እስኪሆን
ዛሬ ሁሉም ውሸት ሁሉም ባዶ ቢሆን
  ልክ እደአፍቃሪ ትላንትን አሳቢ ትዝታ እንደያዘ እመርቃታለሁ
ያኔን አስታውሼ ቆሜ ሸኛታለሁ
አሜን በይኝ እቴ👩‍🦱
ትላንት ከልቤ ነው ያልሽበት አንደበት
ዛሬ ስትሄጅ እውነትን አያውራ ቃላት ይዛባበት
አሜን በይኝ እቴ👩‍🦱
ትላንት በቀልዶቼ ፈገግ ያልሽባቸው እኚ ውብ ጥርሶችሽ
አደል ቀልድ ሰምተው ደስታ መሀል እንኳን አይከፈቱልሽ
ትላንት መኖርያክ ነው ልቤ እንዳለልሺኝ
ዛሬ መኖርያዬን እንድጠላ አረግሺኝ
አምነቴን በልተሽ ውሸት አስተምረሽ
ፍቅርን ከልቤ ላይ ገጥለሽ አጥፍተሽ
መሄድሽ ሳያንስሽ
ካለሽበት ሆነሽ እንዴት ነው ትያለሽ
ከሄድሽ ጀምሮ እጅጉን ደልቶኛል
እንድል አጠብቂ ክደትሽ ገሎኛል
ተሰማማው አትበይ ገላይ ወዝ አለው
ህመምን የያዘ ውስጤ ግን ባዶ ነው
ብቻ ካለሽበት ከሄድሽበት ከቆምሽበት
ሀሰትን ክደትን ተይ እና እውነትን ኑሪበት


።።።።።።።። ገጣሚ ጆ @Delsima4 ✍።።።።።።።።።።",2024-03-27 18:24:06+00:00
3714,"! ፍቅር ለዘለአለም ትኑር !

ጀንበር መአዛ አለው ልብን የሚያበራ
ጨረቃ ቋንቋ አለው ፍቅርን የሚጠራ
እግዜር ዘመን አለው ውበት ሚሰራበት
አንቺን መሳይ ቆንጆ የሚያበጃጅበት
እያንዳንዱ ሰዐት
አንቺን ይባርካል
እያንዳንዱ ጊዜ
ለፍቅር መውደዴ
ዘለዓለም ኑሪልኝ መልካም ልደት ውዴ።

✍🏽 ዳዊት",2024-03-07 20:54:05+00:00
3713,"የልደቷ ቀን ነው
(በሰለሞን ሣህለ)
ጥቁር ደመና ነው ሰማዩን የሞላው
ነዝናዛ ዝናብ ነው ደመናው የያዘው
ፀሀይ አትታይም
የአውራ ዶሮው ጩኸት ንጋት አያበስርም
አእዋፍ በዜማ ቀኑን አልባረኩም
ይ … ህ … ሁ… ሉ … ቢሆንም
ዛሬ ልደቷ ነው
የልደቷ ቀን ነው
ስንቴ ልደት ሆነ? ስንት ቀን አለፈ?
ቃሉን ስንቴ ኑሮ ስንት ነገር ጻፈ?
ዛሬም ቃል ሊጠብቅ
ካልጋው ላይ ተነሳ እጆቹን ታጠበ ፊቱን አረጠበ
ሼልፉ ላይ ምስሏ አለ ምስሏን ሊያየው ዞረ
ምስሏ ላይ ሳቅ አለ ሳቋ ሳቁን ጫረ
ሳቋ ውስጥ ነፍስ አለ ነፍሱ ለቃል ኖረ
ጥቁር ሱፍ ለበሰ ከረባት አሰረ
መስታወት ፊት ቆመ ጸጉሩን አበጠረ
እናም እንደገና ቀናቱን ቆጠረ
መስከረም ጥቅምት ህዳር
እሑድ ማክስኞ ሐሙስ
አንድ … ሶስት … አምስት…
ልክ ነው ልክ ነው
ዛሬ ልደቷ ነው
የልደቷ ቀን ነው!!!
እንቡጥ ጽጌረዳ
ቀይ ወይን የያዘ የወይን ጠጅ ጠርሙስ
ቃል ኪዳኑ ይህ ነው እንዲ ነው ያስለመዳት
ልክ የልደቷ ቀን ይህን ነው ሚሰጣት
ዛሬ ልደቷ ነው …
ጥቋቁር ደመና ሰማዩን ቢከብም
የዘማሪ አእዋፍ ዜማ ባይሰማም
የአውራ ዶሮው ጩኸት ንጋት ባያበስርም
ይሄ ነዝናዛ ቀን የነጋ ባይመስልም
ደመናው ሸፍኗት ፀሀይ ባትታይም
ቀኑ ግን ቀኗ ነው …
ዛሬ ልደቷ ነው
የልደቷ ቀን ነው!!!
ሁሌ አስለምዷታል …
ወይን የያዘ ጠርሙስ ቀይ እንቡጥ አበባ
እኝህን ይዞ ነበር …
ከነ ሙሉ ሳቁ ከነ ሙሉ ሱፉ እቤቷ ሚገባ
እናም
ጥቁር ሱፍ ያደረገ ክራባት ያሰረ
መስታወት ፊትቆሞ ጸጉሩን ያበጠረ
ካንድም ሁለት ሶስቴ ቀናት የቆጠረ
ይህ ቃሉን አክባሪ ይህ አፍቃሪ ወጣት
ወይን የያዘ ጠርሙስ ቀይ እንቡጥ አበባ
እነዚህን ይዞ ከልቧ እንደገባ
እነዚህን ይዞ እቤቷ ሊገባ
ይሄው ከቤት ወጣ እርምጃ ጀመረ
ቀኗን ቀን ሊያደርገው ከራሱ መከረ
ቢቻል ቢሆንማ
ፀሀይን ለማውጣት ይህንን ደመና ይጠርገው ነበረ
እንዲህ ነው የሰው ልጅ ልቡ ካፈቀረ
እንዲህ ነው የሰው ልጅ ቃሉን ካከበረ
የልደቷ ቀን ነው …!
………………..
በጠዋት ተነስታ ውሀ እምትቀዳ ሴት
ከባዶ እንስራ ጋር መንገዱን አለፈች
እርሱን አቋረጠች
ደግሞም እዚያ ማዶ …
ከኳስ ሜዳው ፖል ላይ ያረፈው አሞራ
ጥቁር መንቆር ከፍቶ …
ከምጽአት ይሁን ከድንገት ሞት ጋራ
በቋንቋው አወራ በጩኸት ተጣራ
ጎዳና የሚኖር አንድ ጥቁር ውሻ …
አፉን ሽቅብ ከፍቶ አላዝኖ እያማጠ
ባንካሳ አረማመድ እርሱን አቋረጠ
ወደ ጢሻው ገባ ሄደ ሸመጠጠ
እናም ይህ አፍቃሪ ቃሉን አክባሪ ሰው
እኝን ሁሉ ምልኪ …
ባንድነት ስላየ ባሳብ ተመሰጠ
የምልኪውን ፍች ለማወቅ ቋመጠ
“ምንድን ነው? ምንድን ነው ይህ ሁሉ?”
መልስ የለም
እኝህ ሁሉ ንግር …
የንግር ፈረሶች እውነት ቢናገሩም
ሱፉ ለባሹ ወጣት አንዱን አላመነም
ቀይ እንቡጥ አበባ
ወይን የሞላው ጠርሙስ እነዚህን ይዞ
መንገዱን ቀጠለ በእምነት ታግዞ
እንቡጥ አበባ ወይን …
ወይኑ ወይኔ አበባ
አበባ -ሳቅ- እንባ
የልደቷ ቀን ነው!!!
የአእዋፋት ዜማ ለምን አልተሰማም?
በምንስ ምክንያት …
የአውራ ዶሮው ጩኸት እንደ ጥንቱ አልሆነም?
ስለምን ደመናው ፀሀይዋን ከበበ?
አንድም ምላሽ የለም ሁሉንም አሰበ
የልደቷ ቀን ነው!!!
ፀሀይ ያጣ ሰማይ ….
ድምጽ የሌለው ዶሮ …
የአእዋፋት እንጉርጉሮ…
ከባዶ እንስራ ጋር አንዲት ሴት አለፈች
አሞራ ተጣራ ጥቁር ውሻ ሄደ
ባንድነት በብዛት የሚሆነው ሁሉ
ባንድነት በብዛት የሚሆኑት ሁሉ
የልደት ቀን ሊያከብር
የሚሄድን ፍቅር እንዴት ያስከፋሉ?
ቃሉን አክባሪ ሰው …
ቃል ኪዳን ጠባቂን እንዴት ይጠላሉ?
እንደዚህ ቃል ገብቷል …
እንዲህ አስለምዷታል …
ቀይ እንቡጥ አበባ ከቀይ ወይን ጋር
ከዛ ደግሞ ፍቅር …
ከ-ዛ-ደ-ግ-ሞ- ፍ-ቅ-ር …
ከዛ … ደግሞ … ፍ...ቅ…ር…
ሁለቱም ባንድነት ይህን ያደርጋሉ
በፍቅር አንድ ሆነው እንዲ ይከውናሉ
በደመና አይደለም ባሳብ ያርጋሉ
ያን ግዜ ይሆናል የማይሆነው ሁሉ
ወጣቱ ደረሰ ያለችበት ገባ …
ቀይ ወይን አስቀመጠ ከዛም ቀይ አበባ
ከተቀመጠበት
ከዘንባባው መሃል ከጽዱ ከዝግባ
ቃል ጠባቂነቱን በእርካታ እያሰበ
ከምስሏ ዝቅ ብሎ ይህን አነበበ
“ሩጫየን ጨርሻለሁ!!!”
ቢሆንም የልደቷ ቀን ነው …
ይህን ለማድረግ ነው …
በጣር ላይ እያለች ስሟት ቃል የገባው
ቃሉን ለማክበር ነው መቃብሯ የመጣው
እናም ….
ቃሉን ያከበረ …
በዚህ ጨፍጋጋ ቀን በምልኪዎች መሀል
ቃሉ ስጋ ሲለብስ ሞትን ድል ይነሳል
የልደቷ ቀን ነው!!!
⛈⛈⛈⛈⛈⛈⛈⛈⛈⛈⛈⛈⛈⛈⛈",2024-03-07 20:52:56+00:00
3712,"ነገ ልደቷ ነው!(ልዑል ሀይሌ)

ነገ ልደቷ ነው!

ልቤ ወዴት ሄዶ ዳቦ አይቆረስም፤
አሰናዳሁላት ትቁረሰው በሷ ስም፤
.
በዕድሜዋ ቁጥር ሻማም አይበራላት፤
ምን ይጎልባታል 
ብርሃን የሚያፈልቁ ጥርሶቿ እያሉላት፤
.
ነገ ልደቷ ነው!
አሰናድቻለሁ ሚቆረሰው ልቤን፤
አሰናድታዋለች 
ደማቅ ፈገግታዋን ልትሰርቀው ሐሳቤን፤
.
መቼ ነው ሚነጋው?
እሱ ነው የኔ ሐሳብ የሌሊት ጥበቃ፤
መች ነው ማገኛት 
ከፀሐይዋ በፊት የምትወጣው ደምቃ፤
.
እንቅልፍም አልተኛም ቢያዳፋኝም ደርሶ፤
ሕልም ሆኖ እንዳይነጥቀኝ ምኞቴን አፍርሶ፤
.
እጠብቃታለሁ 
በልደቷ ዕለት ሚቆረስ ልብ ይዤ፤
ለሷ አይደለም ወይ 
ግሳንግስ ኑሮዬን የመጣሁ ተጉዤ፤",2024-03-07 20:51:45+00:00
3711,"ማነው የገባው?

ʟɪʟᴜ ᴘᴏᴇᴍs ᴀɴᴅ ǫᴜᴏᴛᴇs 
@lilumar5 ᴊᴏɪɴ ᴀɴᴅ sʜᴀʀᴇ 🙏

✍✍@Lilumarr",2023-11-09 07:33:42+00:00
